airline_id	channel	service_class	service_status_raw	fare_class	fare_nature_raw	amount	currency	scope_raw	billing_basis_raw	booking_deadline	official_url	locator	evidence_excerpt	citation_check	page_date	verified_date	legacy_fee	legacy_farelist	repo_linkage	assessment
aegean	cabin	OFFERED	OFFERED	EXACT	EXACT	35 domestic; 65 international	EUR	AEGEAN/Olympic operated routes	per container per route	up to 2h before departure; capacity priority	https://en.aegeanair.com/travel-info/travelling-with-aegean/special-assistance/traveling-with-pet/	Booking & charges > Cat or Dog in cabin	“Domestic flights €35 … International flights €65”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	€35–65	domestic €35; international €65	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy amount corroborated.
aegean	cargo	CONDITIONAL	CONDITIONAL	QUOTE_OR_NOT_FOUND	QUOTE_OR_NOT_FOUND	contact Cargo Department	ND	to UAE/UK and excluded breeds; other cargo cases	shipment	contact before booking	https://en.aegeanair.com/travel-info/travelling-with-aegean/special-assistance/traveling-with-pet/	Notes below charges	“only allowed to be sent as cargo”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public cargo amount found.
aegean	hold	OFFERED	OFFERED	EXACT	EXACT	50/55 medium domestic; 110/120 medium international; 90/95 large domestic; 180/190 large international	EUR	AEGEAN/Olympic; direct/connecting	per container per route	up to 2h before departure; capacity priority	https://en.aegeanair.com/travel-info/travelling-with-aegean/special-assistance/traveling-with-pet/	Booking & charges > aircraft hold	NEEDS_QUOTE — official fare is split across two weight tables; no single short contiguous excerpt proves all eight values	LOCATOR_ONLY_REVIEW_BEFORE_IMPORT	ND	2026-09-10	€50–190	medium/large direct/connecting grid	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy amount corroborated.
aer_lingus	cabin	NOT_OFFERED	NOT_OFFERED	NOT_APPLICABLE	NOT_APPLICABLE	—	—	Aer Lingus operated flights	—	—	https://www.aerlingus.com/localized/en/modals/baggage-information.html	Animals / passenger check-in	“Animals presented for carriage at passenger check-in will not be accepted”	NO_FARE_APPLICABLE	ND	2026-09-10	—	Not carried	NO: legacy fareList dormant; Finder reads policies status only	Current page supersedes historical passenger-baggage tariff.
aer_lingus	cargo	OFFERED	OFFERED	QUOTE	QUOTE	confirmed by pet agent / IAG Cargo	ND	Ireland–North America and other accepted cargo routes	shipment	advance agent booking	https://www.aerlingus.com/localized/en/modals/baggage-information.html	Animals	“contact an approved pet agent”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	IAG Cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	2010 EUR160 tariff found on official site but rejected as stale.
aer_lingus	hold	NOT_OFFERED	NOT_OFFERED_AS_PASSENGER_BAGGAGE	NOT_APPLICABLE	NOT_APPLICABLE	—	—	all; pet travels through agent/IAG Cargo	—	book via approved pet agent	https://www.aerlingus.com/localized/en/modals/baggage-information.html	Animals	“must be booked through a pet agent”	NO_FARE_APPLICABLE	ND	2026-09-10	—	Not carried	NO: legacy fareList dormant; Finder reads policies status only	“Hold” service exists physically as cargo, not checked-pet at passenger check-in.
aerolineas_argentinas	cabin	OFFERED	OFFERED	NOT_FOUND	NOT_FOUND	payment through WhatsApp; current amount not displayed	ND	availability by cabin/aircraft	pet service	request up to 72h before flight	https://www.aerolineas.com.ar/adicionales/mascota-a-bordo	Para solicitar el servicio	“consultá las condiciones … y realizá el pago”	NO_CURRENT_FARE_FOUND	ND	2026-09-10	ARS 54,450 · USD 150–250	legacy domestic/international grid	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy numeric grid not corroborated by current official page.
aerolineas_argentinas	cargo	OFFERED	OFFERED	MATRIX	OFFICIAL_GRID	published route tariff grid; amount depends route/weight	USD	Buenos Aires and listed cargo destinations	shipment / chargeable weight	cargo reservation required	https://cargo.aerolineas.com.ar/Files/TARIFARIOBUEAVIJUN252_20251008121421.pdf	Live-animal cargo tariff table	“TARIFARIO”	LOCATOR_ONLY_REVIEW_BEFORE_IMPORT	2025-06	2026-09-10	Not published	cargo not published	NO: legacy fee/fareList dormant; Finder reads policies status only	Current service proved; row-level quote still needed for an itinerary.
aerolineas_argentinas	hold	NOT_ESTABLISHED	NON_ESTABLISHED	NOT_FOUND	NOT_FOUND	—	ND	current passenger page located only for cabin	ND	ND	https://www.aerolineas.com.ar/adicionales/mascota-a-bordo	Scope of current page	“Mascota a bordo”	NO_CURRENT_FARE_FOUND	ND	2026-09-10	ARS 229,900 · USD 330–1,149	legacy hold grid	NO: legacy fee/fareList dormant; Finder reads policies status only	No current official passenger-hold page found; do not infer from legacy YAML.
aeromexico	cabin	OFFERED	OFFERED	NOT_FOUND	NOT_FOUND	price section present but numeric table not accessible in official rendered page	ND	country/season dependent	pet under seat	advance reservation; exact lead not shown	https://beta.aeromexico.com/es-mx/informacion-de-vuelos/transporte-aereo-de-mascotas	Costos de los servicios para el transporte de mascotas	“Mascota bajo el asiento … hasta 9 kg”	NO_CURRENT_FARE_FOUND	ND	2026-09-10	$182–189	legacy per-segment grid	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy amount not corroborated.
aeromexico	cargo	NOT_ESTABLISHED	NON_ESTABLISHED	NOT_FOUND	NOT_FOUND	—	ND	no current official cargo-pet tariff located	ND	ND	https://beta.aeromexico.com/es-mx/informacion-de-vuelos/transporte-aereo-de-mascotas	Scope of passenger page	“Servicios de Mascotas”	NO_CURRENT_FARE_FOUND	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No inference from absence.
aeromexico	hold	OFFERED	OFFERED	NOT_FOUND	NOT_FOUND	price section present but numeric table not accessible	ND	up to 45 kg; route restrictions	checked pet	advance reservation; exact lead not shown	https://beta.aeromexico.com/es-mx/informacion-de-vuelos/transporte-aereo-de-mascotas	Servicios > Mascota en bodega	“Mascota en bodega … Hasta 45 kg”	NO_CURRENT_FARE_FOUND	ND	2026-09-10	$283–290	legacy per-segment grid	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy amount not corroborated.
