airline_id	channel	service_status	fare_nature	amount	currency	geography_route	billing_subject_and_journey_basis	reservation_lead	official_url	locator	page_date	verified_date	legacy_fee	legacy_farelist	repo_linkage	evidence_excerpt	notes
aegean	cabin	OFFERED	EXACT	35 domestic; 65 international	EUR	AEGEAN/Olympic operated routes	per container per route	up to 2h before departure; capacity priority	https://en.aegeanair.com/travel-info/travelling-with-aegean/special-assistance/traveling-with-pet/	Booking & charges > Cat or Dog in cabin	ND	2026-09-10	€35–65	domestic €35; international €65	NO: legacy fee/fareList dormant; Finder reads policies status only	“Domestic flights €35 … International flights €65”	Legacy amount corroborated.
aegean	hold	OFFERED	EXACT	50/55 medium domestic; 110/120 medium international; 90/95 large domestic; 180/190 large international	EUR	AEGEAN/Olympic; direct/connecting	per container per route	up to 2h before departure; capacity priority	https://en.aegeanair.com/travel-info/travelling-with-aegean/special-assistance/traveling-with-pet/	Booking & charges > aircraft hold	ND	2026-09-10	€50–190	medium/large direct/connecting grid	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — official fare is split across two weight tables; no single short contiguous excerpt proves all eight values	Legacy amount corroborated.
aegean	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact Cargo Department	ND	to UAE/UK and excluded breeds; other cargo cases	shipment	contact before booking	https://en.aegeanair.com/travel-info/travelling-with-aegean/special-assistance/traveling-with-pet/	Notes below charges	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“only allowed to be sent as cargo”	No public cargo amount found.
aer_lingus	cabin	NOT_OFFERED	NOT_APPLICABLE	—	—	Aer Lingus operated flights	—	—	https://www.aerlingus.com/localized/en/modals/baggage-information.html	Animals / passenger check-in	ND	2026-09-10	—	Not carried	NO: legacy fareList dormant; Finder reads policies status only	“Animals presented for carriage at passenger check-in will not be accepted”	Current page supersedes historical passenger-baggage tariff.
aer_lingus	hold	NOT_OFFERED_AS_PASSENGER_BAGGAGE	NOT_APPLICABLE	—	—	all; pet travels through agent/IAG Cargo	—	book via approved pet agent	https://www.aerlingus.com/localized/en/modals/baggage-information.html	Animals	ND	2026-09-10	—	Not carried	NO: legacy fareList dormant; Finder reads policies status only	“must be booked through a pet agent”	“Hold” service exists physically as cargo, not checked-pet at passenger check-in.
aer_lingus	cargo	OFFERED	QUOTE	confirmed by pet agent / IAG Cargo	ND	Ireland–North America and other accepted cargo routes	shipment	advance agent booking	https://www.aerlingus.com/localized/en/modals/baggage-information.html	Animals	ND	2026-09-10	Quote	IAG Cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“contact an approved pet agent”	2010 EUR160 tariff found on official site but rejected as stale.
aerolineas_argentinas	cabin	OFFERED	NOT_FOUND	payment through WhatsApp; current amount not displayed	ND	availability by cabin/aircraft	pet service	request up to 72h before flight	https://www.aerolineas.com.ar/adicionales/mascota-a-bordo	Para solicitar el servicio	ND	2026-09-10	ARS 54,450 · USD 150–250	legacy domestic/international grid	NO: legacy fee/fareList dormant; Finder reads policies status only	“consultá las condiciones … y realizá el pago”	Legacy numeric grid not corroborated by current official page.
aerolineas_argentinas	hold	NON_ESTABLISHED	NOT_FOUND	—	ND	current passenger page located only for cabin	ND	ND	https://www.aerolineas.com.ar/adicionales/mascota-a-bordo	Scope of current page	ND	2026-09-10	ARS 229,900 · USD 330–1,149	legacy hold grid	NO: legacy fee/fareList dormant; Finder reads policies status only	“Mascota a bordo”	No current official passenger-hold page found; do not infer from legacy YAML.
aerolineas_argentinas	cargo	OFFERED	OFFICIAL_GRID	published route tariff grid; amount depends route/weight	USD	Buenos Aires and listed cargo destinations	shipment / chargeable weight	cargo reservation required	https://cargo.aerolineas.com.ar/Files/TARIFARIOBUEAVIJUN252_20251008121421.pdf	Live-animal cargo tariff table	2025-06	2026-09-10	Not published	cargo not published	NO: legacy fee/fareList dormant; Finder reads policies status only	“TARIFARIO”	Current service proved; row-level quote still needed for an itinerary.
aeromexico	cabin	OFFERED	NOT_FOUND	price section present but numeric table not accessible in official rendered page	ND	country/season dependent	pet under seat	advance reservation; exact lead not shown	https://beta.aeromexico.com/es-mx/informacion-de-vuelos/transporte-aereo-de-mascotas	Costos de los servicios para el transporte de mascotas	ND	2026-09-10	$182–189	legacy per-segment grid	NO: legacy fee/fareList dormant; Finder reads policies status only	“Mascota bajo el asiento … hasta 9 kg”	Legacy amount not corroborated.
